GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
,com.silvio.ingestion,IngestionServiceApplication,5,3,0,0,2,1,1,1,1,1
,com.silvio.ingestion.storage,LocalStorageService,94,0,4,0,23,0,6,0,4,0
,com.silvio.ingestion.storage,DatabaseStorageService,34,0,0,0,9,0,5,0,5,0
,com.silvio.ingestion.config,SwaggerConfig,17,0,0,0,5,0,2,0,2,0
,com.silvio.ingestion.exception,GlobalExceptionHandler,14,30,1,3,3,7,2,3,1,2
,com.silvio.ingestion.service,IngestionService,8,259,0,4,2,53,0,12,0,10
,com.silvio.ingestion.controller,IngestionController,0,87,0,0,0,18,0,4,0,4
