GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
,com.silvio.notification.config,SwaggerConfig,0,17,0,0,0,5,0,2,0,2
,com.silvio.notification.service,NotificacionService,0,191,0,0,0,48,0,9,0,9
,com.silvio.notification.exception,GlobalExceptionHandler,0,41,0,0,0,8,0,4,0,4
,com.silvio.notification.model,Notificacion.TipoNotificacion,0,21,0,0,0,4,0,1,0,1
,com.silvio.notification,NotificationServiceApplication,5,3,0,0,2,1,1,1,1,1
,com.silvio.notification.controller,NotificacionController,0,161,0,0,0,29,0,7,0,7
