GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
,com.silvio.search.service,SearchService,0,176,0,0,0,35,0,5,0,5
,com.silvio.search,SearchServiceApplication,5,3,0,0,2,1,1,1,1,1
,com.silvio.search.exception,GlobalExceptionHandler,0,18,0,0,0,4,0,2,0,2
,com.silvio.search.controller,SearchController,0,75,0,0,0,15,0,6,0,6
,com.silvio.search.config,SwaggerConfig,0,17,0,0,0,5,0,2,0,2
