GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
,com.silvio.catalog.config,SwaggerConfig,0,17,0,0,0,5,0,2,0,2
,com.silvio.catalog.exception,GlobalExceptionHandler,2,51,2,2,1,10,2,4,0,4
,com.silvio.catalog.service,CatalogService,53,360,12,8,2,88,13,12,3,12
,com.silvio.catalog,CatalogServiceApplication,5,3,0,0,2,1,1,1,1,1
,com.silvio.catalog.controller,CatalogController,0,195,0,0,0,26,0,10,0,10
