GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
identity-service,com.silvio.identity,IdentityServiceApplication,5,3,0,0,2,1,1,1,1,1
identity-service,com.silvio.identity.exception,GlobalExceptionHandler,43,55,3,3,8,13,5,4,3,3
identity-service,com.silvio.identity.config,SwaggerConfig,0,17,0,0,0,5,0,2,0,2
identity-service,com.silvio.identity.config,SecurityConfig,0,79,0,0,0,11,0,6,0,6
identity-service,com.silvio.identity.security,JwtAuthenticationFilter,71,0,4,0,21,0,4,0,2,0
identity-service,com.silvio.identity.security,JwtUtil,134,0,0,0,35,0,8,0,8,0
identity-service,com.silvio.identity.controller,AuthController,83,143,4,0,15,26,3,5,1,5
identity-service,com.silvio.identity.service,UserService,0,246,1,9,0,57,1,14,0,10
