GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
,com.silvio.elending.config,SwaggerConfig,0,17,0,0,0,5,0,2,0,2
,com.silvio.elending.exception,GlobalExceptionHandler,8,69,4,6,3,15,4,5,0,4
,com.silvio.elending.dto,NotificacionRequestDTO,32,16,0,0,10,5,2,1,2,1
,com.silvio.elending.security,JwtExtractor,33,3,0,0,7,1,1,1,1,1
,com.silvio.elending.controller,PrestamoController,0,151,0,0,0,29,0,9,0,9
,com.silvio.elending,PrestamoServiceApplication,5,3,0,0,2,1,1,1,1,1
,com.silvio.elending.model,Prestamo.EstadoPrestamo,0,15,0,0,0,3,0,1,0,1
,com.silvio.elending.service,PrestamoService,216,336,5,7,65,81,5,10,2,7
