GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
,com.silvio.subscription.security,JwtExtractor,0,36,0,0,0,8,0,2,0,2
,com.silvio.subscription.config,SwaggerConfig,0,17,0,0,0,5,0,2,0,2
,com.silvio.subscription.model,Suscripcion.PlanSuscripcion,0,15,0,0,0,3,0,1,0,1
,com.silvio.subscription.exception,GlobalExceptionHandler,0,41,0,0,0,8,0,4,0,4
,com.silvio.subscription,SubscriptionServiceApplication,5,3,0,0,2,1,1,1,1,1
,com.silvio.subscription.controller,SuscripcionController,0,126,0,0,0,23,0,4,0,4
,com.silvio.subscription.service,SuscripcionService,0,224,0,2,0,48,0,9,0,8
